// Zero     One		Two		Three		Four	Five		Six		Seven		Eight	Nine		Ten		Eleven	 Twelve
0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 1 1 | 0 0 0 0 | 1 1 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0
0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 1 1 | 0 0 0 0 | 1 1 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0
0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 1 1 | 0 0 0 0 | 1 1 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0
0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 1 1 | 0 0 0 0 | 1 1 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0

// One
0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 0 0 1 1 | 1 1 1 1 | 1 1 0 0 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0
0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 0 0 1 1 | 1 1 1 1 | 1 1 0 0 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0
0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0
0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0 | 1 1 1 1 | 0 0 0 0

// Two
